,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Asuaju De Sus,RO,47.5667,23.1833,56.98,72,12,3.71,few clouds
202,Urengoy,RU,65.9667,78.3667,57.47,59,100,11.61,overcast clouds
203,Lokosovo,RU,61.1333,74.8167,66.22,48,80,10.4,broken clouds
204,Krasnaya Gora,RU,52.9995,31.6023,61.79,80,3,9.17,clear sky
205,Alta Floresta,BR,-9.8756,-56.0861,69.28,51,1,3.67,clear sky
206,Salinopolis,BR,-0.6136,-47.3561,78.39,82,43,11.23,scattered clouds
207,Tasiilaq,GL,65.6145,-37.6368,33.96,71,6,4.16,clear sky
208,Sakaiminato,JP,35.55,133.2333,91.38,58,75,13.8,broken clouds
209,Castelo Do Piaui,BR,-5.3222,-41.5525,71.64,51,14,2.59,few clouds
210,Hearst,CA,49.6835,-83.6665,50.25,68,1,3.24,clear sky
211,Suluq,LY,31.6682,20.2521,75.07,75,0,5.66,clear sky
212,Kupang,ID,-10.1667,123.5833,86.58,66,75,13.8,broken clouds
213,Nuevitas,CU,21.5453,-77.2644,78.49,81,19,8.81,few clouds
214,Kalianget,ID,-7.05,113.9333,83.39,74,67,9.73,broken clouds
215,Point Pedro,LK,9.8167,80.2333,84.92,70,100,9.98,overcast clouds
216,Khatanga,RU,71.9667,102.5,53.96,51,96,9.6,overcast clouds
217,Rawson,AR,-43.3002,-65.1023,49.53,63,68,6.62,broken clouds
218,Plotnikovo,RU,55.0247,85.9436,66.54,50,2,12.12,clear sky
219,Lavrentiya,RU,65.5833,-171.0,43.36,94,100,4.79,overcast clouds
220,Sao Filipe,CV,14.8961,-24.4956,77.79,79,48,13.78,scattered clouds
221,Humaita,BR,-7.5061,-63.0208,74.66,63,6,1.28,clear sky
222,Kharan,PK,28.5833,65.4167,89.29,19,19,5.57,few clouds
223,Muisne,EC,0.6,-80.0333,73.09,88,100,8.75,overcast clouds
224,Kainantu,PG,-6.2887,145.8655,67.91,83,100,3.58,overcast clouds
225,Ous,RU,60.9058,61.5186,60.62,71,99,6.2,overcast clouds
226,Krasnoselkup,RU,65.7,82.4667,60.08,48,100,8.68,overcast clouds
227,Alofi,NU,-19.0595,-169.9187,80.49,78,68,9.22,broken clouds
228,Souillac,MU,-20.5167,57.5167,66.58,88,40,18.41,scattered clouds
229,Kalmar,SE,56.6616,16.3616,61.97,88,14,3.44,few clouds
230,Dahegam,IN,23.1667,72.8167,83.97,79,87,15.19,overcast clouds
231,Coahuayana,MX,18.7333,-103.6833,78.03,91,100,2.46,overcast clouds
232,Madang,PG,-5.2246,145.7966,75.96,96,100,5.55,overcast clouds
233,Upernavik,GL,72.7868,-56.1549,41.02,87,80,9.82,broken clouds
234,Hirara,JP,24.8,125.2833,85.86,84,75,6.91,broken clouds
235,Georgetown,MY,5.4112,100.3354,87.89,82,20,14.97,few clouds
236,Taoudenni,ML,22.6783,-3.9836,94.23,18,0,8.25,clear sky
237,Samarai,PG,-10.6167,150.6667,77.7,89,98,20.54,overcast clouds
238,Harindanga,IN,22.0383,88.3214,84.25,75,99,5.55,overcast clouds
239,Kaitangata,NZ,-46.2817,169.8464,47.7,68,100,7.34,overcast clouds
240,Maningrida,AU,-12.0667,134.2667,86.76,39,3,12.26,clear sky
241,Lompoc,US,34.6391,-120.4579,66.34,86,0,10.36,clear sky
242,Manokwari,ID,-0.8667,134.0833,83.01,72,48,5.14,scattered clouds
243,Boysun,UZ,38.2061,67.1986,79.27,23,0,4.83,clear sky
244,Garoua Boulai,CM,5.8833,14.55,64.69,98,100,5.19,overcast clouds
245,Bitung,ID,1.4451,125.1824,92.25,67,65,6.64,broken clouds
246,Mount Gambier,AU,-37.8333,140.7667,49.8,85,100,2.89,light rain
247,Turbat,PK,26.0023,63.044,98.29,11,99,16.4,overcast clouds
248,Venustiano Carranza,MX,19.43,-99.0992,67.14,58,100,15.01,overcast clouds
249,Bubaque,GW,11.2833,-15.8333,79.25,83,99,15.88,light rain
250,Burnie,AU,-41.0667,145.9167,51.94,87,95,7.7,overcast clouds
251,Faanui,PF,-16.4833,-151.75,78.21,77,6,13.49,light rain
252,Stanghelle,NO,60.5528,5.7357,60.84,95,100,1.5,light rain
253,Grand Gaube,MU,-20.0064,57.6608,66.6,76,95,8.01,light rain
254,Labuhan,ID,-6.8844,112.2051,86.65,64,53,8.52,broken clouds
255,Monrovia,LR,6.3005,-10.7969,75.88,85,85,11.74,light rain
256,Zalesovo,RU,53.9939,84.7431,72.48,65,90,4.79,overcast clouds
257,Airai,TL,-8.9266,125.4092,73.98,51,47,3.04,scattered clouds
258,Kasongo-Lunda,CD,-6.4667,16.8167,64.81,31,81,1.12,broken clouds
259,Trabzon,TR,40.9167,39.8333,73.49,61,75,8.05,broken clouds
260,Leningradskiy,RU,69.3833,178.4167,45.01,83,100,4.05,overcast clouds
261,Omboue,GA,-1.5746,9.2618,71.01,85,99,4.92,overcast clouds
262,Custoias,PT,41.1053,-7.321,64.15,74,0,2.3,clear sky
263,Mehamn,NO,71.0357,27.8492,51.75,82,75,33.38,light rain
264,Aswan,EG,24.0934,32.907,87.1,25,0,5.75,clear sky
265,Canto Do Buriti,BR,-8.11,-42.9444,72.93,34,1,2.21,clear sky
266,Auki,SB,-8.7676,160.7034,81.27,80,65,1.12,broken clouds
267,Severo-Kurilsk,RU,50.6789,156.125,56.88,96,100,12.06,overcast clouds
268,Varzea Da Palma,BR,-17.5981,-44.7308,61.09,43,100,3.85,overcast clouds
269,Puerto Escondido,MX,15.85,-97.0667,77.83,73,100,3.44,overcast clouds
270,San Matias,BO,-16.3667,-58.4,60.19,51,0,3.87,clear sky
271,Katobu,ID,-4.9408,122.5276,81.73,83,34,5.41,scattered clouds
272,Asfi,MA,32.2994,-9.2372,69.82,85,0,13.33,clear sky
273,Sitka,US,57.0531,-135.33,66.09,72,75,0.0,broken clouds
274,Locri,IT,38.2414,16.2623,70.32,80,33,5.12,scattered clouds
275,Pingyi,CN,35.5006,117.6308,91.09,61,24,8.41,few clouds
276,Bocas Del Toro,PA,9.3333,-82.25,79.36,84,100,11.63,overcast clouds
277,Mahebourg,MU,-20.4081,57.7,66.49,88,40,18.41,scattered clouds
278,Acapulco,MX,16.8634,-99.8901,82.22,69,75,2.3,broken clouds
279,Jabinyanah,TN,35.035,10.9081,80.4,71,0,9.42,clear sky
280,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,73.54,49,3,1.45,clear sky
281,Arman,RU,59.7,150.1667,71.02,84,100,5.7,overcast clouds
282,Nahrin,AF,36.0649,69.1334,79.02,23,1,4.05,clear sky
283,Esperance,AU,-33.8667,121.9,57.56,56,65,7.74,broken clouds
284,Standish,US,43.9831,-83.9589,67.84,61,0,7.36,clear sky
285,Orotukan,RU,62.2667,151.7,63.72,65,100,1.54,light rain
286,Kamenka,RU,51.3223,42.7678,71.51,70,8,12.91,clear sky
287,Mackay,AU,-21.15,149.2,74.68,66,59,8.43,broken clouds
288,Kavieng,PG,-2.5744,150.7967,83.21,73,100,10.13,light rain
289,San Buenaventura,MX,27.0833,-101.5333,85.48,50,98,17.92,overcast clouds
290,Carnot,CF,4.9409,15.8665,68.13,97,98,3.87,overcast clouds
291,Okato,NZ,-39.2,173.8833,46.69,81,72,7.27,broken clouds
292,Waspan,NI,14.7419,-83.9717,74.43,97,100,2.71,overcast clouds
293,Victoria,HK,22.2855,114.1577,78.94,95,98,1.01,heavy intensity rain
294,Jardim,BR,-21.4803,-56.1381,55.33,75,2,4.76,clear sky
295,Bestobe,KZ,52.4994,73.0975,74.21,57,0,9.73,clear sky
296,Ilulissat,GL,69.2167,-51.1,41.02,87,75,3.44,broken clouds
297,Tura,IN,25.5198,90.2201,84.54,68,22,5.08,few clouds
298,Krasnoarmeysk,RU,51.0239,45.6969,69.37,74,6,11.63,clear sky
299,Ayan,RU,56.45,138.1667,55.65,98,100,11.86,light rain
300,Maragogi,BR,-9.0122,-35.2225,72.55,85,0,4.74,clear sky
301,Sabha,LY,27.0377,14.4283,80.38,27,0,11.03,clear sky
302,Vardo,NO,70.3705,31.1107,51.78,71,100,25.32,overcast clouds
303,Belyy Yar,RU,53.6039,91.3903,73.85,60,0,4.47,clear sky
304,Zyryanovsk,KZ,49.7386,84.2719,76.17,38,48,1.74,scattered clouds
305,Klaksvik,FO,62.2266,-6.589,52.72,88,25,10.94,scattered clouds
306,Lorengau,PG,-2.0226,147.2712,81.88,77,100,2.59,overcast clouds
307,San Ramon,US,37.7799,-121.978,69.39,74,0,12.66,clear sky
308,Milin,CZ,49.6319,14.046,49.77,97,1,3.38,clear sky
309,Fomboni,KM,-12.28,43.7425,76.3,67,29,17.22,scattered clouds
310,Sioux Lookout,CA,50.1001,-91.917,51.87,87,40,0.0,scattered clouds
311,Port Blair,IN,11.6667,92.75,82.44,78,40,11.5,scattered clouds
312,Kokoda,PG,-8.8785,147.7407,79.14,90,100,3.78,overcast clouds
313,Pastavy,BY,55.1168,26.8326,58.59,81,0,3.71,clear sky
314,Kamalganj,IN,27.2667,79.65,88.43,60,23,19.3,few clouds
315,Kita,ML,13.0349,-9.4895,73.58,95,98,3.6,overcast clouds
316,Toktogul,KG,41.8708,72.9402,74.53,44,0,1.88,clear sky
317,Oussouye,SN,12.485,-16.5469,80.69,85,100,7.0,light rain
318,Ha Giang,VN,22.8333,104.9833,85.42,81,66,3.04,broken clouds
319,Panlaitan,PH,12.1191,119.8486,84.22,70,34,4.59,scattered clouds
320,Toora-Khem,RU,52.4675,96.11,71.76,48,100,2.33,overcast clouds
321,Pringsewu,ID,-5.3582,104.9744,88.12,60,20,2.98,few clouds
322,Srivardhan,IN,18.0333,73.0167,80.82,85,83,21.63,broken clouds
323,Port Lincoln,AU,-34.7333,135.8667,57.7,68,19,17.58,few clouds
324,Ekibastuz,KZ,51.6667,75.3667,71.96,63,5,11.63,clear sky
325,Muros,ES,42.7762,-9.0603,61.09,94,0,2.73,clear sky
326,Komatipoort,ZA,-25.4332,31.9548,62.71,61,0,4.76,clear sky
327,Shahrud,IR,36.4182,54.9763,73.63,17,0,3.67,clear sky
328,Bilibino,RU,68.0546,166.4372,64.35,67,96,5.84,light rain
329,Bida,NG,9.0833,6.0167,72.25,97,100,1.68,overcast clouds
330,Ancud,CL,-41.8697,-73.8203,49.53,94,100,24.76,moderate rain
331,Butaritari,KI,3.0707,172.7902,82.49,75,17,14.74,few clouds
332,Smithers,CA,54.7804,-127.1743,79.12,44,20,4.61,few clouds
333,Along,IN,28.1667,94.7667,91.78,55,80,2.13,broken clouds
334,Simpang,ID,-1.2667,104.0833,91.13,53,31,4.29,scattered clouds
335,Ouegoa,NC,-20.35,164.4333,74.44,53,12,13.62,few clouds
336,Baykit,RU,61.67,96.37,57.04,70,60,5.46,light rain
337,Margate,GB,51.3813,1.3862,69.31,93,16,3.0,few clouds
338,Taldan,RU,53.6667,124.8,61.23,76,100,3.76,overcast clouds
339,Sankanan,PH,8.3156,124.8581,75.13,65,42,3.15,scattered clouds
340,Saint-Remi,CA,45.2668,-73.6159,64.35,75,3,2.3,clear sky
341,Gusinoye Ozero,RU,51.1144,106.2614,73.15,46,35,3.74,scattered clouds
342,Hammerfest,NO,70.6634,23.6821,50.45,76,75,35.68,broken clouds
343,Teguldet,RU,57.3064,88.1667,64.99,47,59,6.91,broken clouds
344,Katherine,AU,-14.4667,132.2667,88.12,40,40,9.22,scattered clouds
345,Half Moon Bay,US,37.4636,-122.4286,68.79,80,75,25.32,broken clouds
346,Yalvac,TR,38.2956,31.1778,63.37,72,0,4.03,clear sky
347,Santa Leopoldina,BR,-20.1006,-40.5297,69.62,87,88,4.09,overcast clouds
