City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
251,Faanui,PF,-16.4833,-151.75,78.21,77,6,13.49,light rain,Bora-Bora Pearl Beach Resort & Spa
252,Stanghelle,NO,60.5528,5.7357,60.84,95,100,1.5,light rain,Fishing Paradise
253,Grand Gaube,MU,-20.0064,57.6608,66.6,76,95,8.01,light rain,Veranda Paul et Virginie Hotel & Spa
254,Labuhan,ID,-6.8844,112.2051,86.65,64,53,8.52,broken clouds,DoubleFAG
255,Monrovia,LR,6.3005,-10.7969,75.88,85,85,11.74,light rain,Sunset Inn
256,Zalesovo,RU,53.9939,84.7431,72.48,65,90,4.79,overcast clouds,Кафе 22rus
259,Trabzon,TR,40.9167,39.8333,73.49,61,75,8.05,broken clouds,SANDALS HOTEL
261,Omboue,GA,-1.5746,9.2618,71.01,85,99,4.92,overcast clouds,Hotel Olako
262,Custoias,PT,41.1053,-7.321,64.15,74,0,2.3,clear sky,Casa Do Adro / Solar Corte Real - José Carlos Pereira Corte Real
264,Aswan,EG,24.0934,32.907,87.1,25,0,5.75,clear sky,Nuba Nile
265,Canto Do Buriti,BR,-8.11,-42.9444,72.93,34,1,2.21,clear sky,Novo Hotel
266,Auki,SB,-8.7676,160.7034,81.27,80,65,1.12,broken clouds,Auki Motel
268,Varzea Da Palma,BR,-17.5981,-44.7308,61.09,43,100,3.85,overcast clouds,Casa Fernandes
269,Puerto Escondido,MX,15.85,-97.0667,77.83,73,100,3.44,overcast clouds,Aldea del Bazar Hotel and Spa
270,San Matias,BO,-16.3667,-58.4,60.19,51,0,3.87,clear sky,"HOTEL ""SAN JOSE"""
271,Katobu,ID,-4.9408,122.5276,81.73,83,34,5.41,scattered clouds,La Ode Husein
272,Asfi,MA,32.2994,-9.2372,69.82,85,0,13.33,clear sky,Hôtel Abda
273,Sitka,US,57.0531,-135.33,66.09,72,75,0.0,broken clouds,Westmark Sitka
274,Locri,IT,38.2414,16.2623,70.32,80,33,5.12,scattered clouds,Grand Hotel President
276,Bocas Del Toro,PA,9.3333,-82.25,79.36,84,100,11.63,overcast clouds,Hotel Bocas del Toro
277,Mahebourg,MU,-20.4081,57.7,66.49,88,40,18.41,scattered clouds,Shandrani Beachcomber Resort & Spa
278,Acapulco,MX,16.8634,-99.8901,82.22,69,75,2.3,broken clouds,HS Hotsson Smart Acapulco
279,Jabinyanah,TN,35.035,10.9081,80.4,71,0,9.42,clear sky,maison belmabrouk
280,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,73.54,49,3,1.45,clear sky,Imperial Hotel
284,Standish,US,43.9831,-83.9589,67.84,61,0,7.36,clear sky,Standish Motel
287,Mackay,AU,-21.15,149.2,74.68,66,59,8.43,broken clouds,International Lodge Motel
288,Kavieng,PG,-2.5744,150.7967,83.21,73,100,10.13,light rain,Nusa Island Retreat
